,EpochLoss
0,44.836599230766296
1,30.522953033447266
2,7.0703041553497314
3,1.954123616218567
4,1.4761118292808533
5,1.601981520652771
6,1.4789828658103943
7,1.2538418173789978
8,1.0122295320034027
9,0.7920711040496826
10,0.6096945106983185
11,0.49979761242866516
12,0.45137958228588104
13,0.43764324486255646
14,0.4323899745941162
15,0.4134843945503235
16,0.39709751307964325
17,0.3702578544616699
18,0.35349521040916443
19,0.325541689991951
20,0.30399999022483826
21,0.2927166521549225
22,0.2791377156972885
23,0.2714865207672119
24,0.2607220262289047
25,0.2519499212503433
26,0.23962024599313736
27,0.23096127063035965
28,0.21941135078668594
29,0.21502262353897095
30,0.209322489798069
31,0.202174611389637
32,0.19721932709217072
33,0.19216299802064896
34,0.18758106976747513
35,0.1825030818581581
36,0.17659714818000793
37,0.1772521659731865
38,0.17181053757667542
39,0.1677279844880104
40,0.1695774644613266
41,0.16282279044389725
42,0.1621338054537773
43,0.15950438380241394
44,0.15685905516147614
45,0.15510722994804382
46,0.1533062681555748
47,0.15022236853837967
48,0.14917828887701035
49,0.14602730423212051
50,0.14378678053617477
51,0.14110954850912094
52,0.14111962169408798
53,0.1384311094880104
54,0.13791852444410324
55,0.13594873994588852
56,0.1348082274198532
57,0.13434620201587677
58,0.13237832486629486
59,0.13168009370565414
60,0.1302770897746086
61,0.12747352570295334
62,0.12593136727809906
63,0.12688180059194565
64,0.12444044277071953
65,0.12314291670918465
66,0.12210095673799515
67,0.1205984614789486
68,0.11905903741717339
69,0.11879007890820503
70,0.11610671132802963
71,0.11470819637179375
72,0.11309794336557388
73,0.11266814917325974
74,0.11317563056945801
75,0.11058386787772179
76,0.10993988066911697
77,0.1094989962875843
78,0.10722716525197029
79,0.10651172697544098
80,0.10566039383411407
81,0.10410776361823082
82,0.10192113369703293
83,0.10093820095062256
84,0.1015644371509552
85,0.09958163648843765
86,0.09662714973092079
87,0.09689304232597351
88,0.09482583031058311
89,0.09432992711663246
90,0.09439928084611893
91,0.09244736656546593
92,0.09153944998979568
93,0.09042437002062798
94,0.08910984173417091
95,0.08813084289431572
96,0.0885264202952385
97,0.08634120598435402
98,0.08653150871396065
99,0.08523879945278168
